NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;CONTACT PERSON;EMAIL;Kommentar;             Kontaktiert PRO;;
Dance in the City - Festival tanzende Stadt;Festival;Deutschland;https://www.irene-k.be/compagnie-en/festival/Call_for_proposal_2021.php?fbclid=IwAR3zZjla1-ggllqmsoBvEJhJkNpmD8NaFP78VlAvxMdDDIqQRTm_m2_iIaY;;;info@irene-k.be;;TRUE;FALSE;
Düsseldorf Festival full spin;Festival;Deutschland;https://www.fullspinfestival.de/?fbclid=IwAR2CFjiaw_CsJ7YqMM6ZoNiryCwG_eO1BWgU9wJGhCzIzh7gsvEUhIRkbcss;;;"Armin Leoni
leoni(at)duesseldorf-festival.de
Theresa Heußen
heussen(at)duesseldorf-festival.de";Next one: 2024;TRUE;FALSE;
Festival No Elephants - Freiburger Zirkustage;Festival;Deutschland;https://bundesverband-zeitgenoessischer-zirkus.de/2021/04/27/festival-no-elephants-freiburger-zirkustage-do-06-05-so-16-05-e-werk-freiburg/;;;;Findet nicht statt;FALSE;FALSE;
Neuland Festival;Festival;Deutschland;www.kultur-perspektiven.de;;;mail@kultur-perspektiven.de;;TRUE;FALSE;
Schlos Bröllin;Residenzzentrum;Deutschland;https://www.broellin.de/de/projekte/residenzprogramm;;;;Bewerbung hier: https://www.broellin.de/form/;FALSE;FALSE;
Zirkus Mond;Zirkus;Deutschland;https://zirkusmond.de/;;;;;FALSE;FALSE;
Callies;Kunstzentrum;Deutschland, Berlin;https://www.callies.berlin/en/residency/how-to-apply;;;;Application form: https://www.filepicker.io/api/file/XDsrzABbTLWOlohUNmgL;FALSE;FALSE;
Petersburg Art Space;Kunstzentrum;Deutschland, Berlin;https://pas-berlin.org/artist-residence/;;;;;FALSE;FALSE;
Fleestreet Theater;Theater;Deutschland, Hamburg;https://www.fleetstreet-hamburg.de/de/residenz/about;;;;Super interessant!!;FALSE;FALSE;
Dublin Circus Project;Zirkuszentrum;Dublin;https://dublincircusproject.com/professionaldevelopment/residency-programmes/;;;;Irland Member;FALSE;FALSE;
Internationale Tanzmesse NRW;Festival;Düsseldorf;https://www.tanzmesse.com/en/about/contact-us/;;Franzi Hauser Jéssica Nakazima Mara Nedelcu;agora@tanzmesse.com proposals@tanzmesse.com;;TRUE;FALSE;
Edingburgh Festival Fringe;Festival;Edingburgh;https://www.edfringe.com/contact;;;participants@edfringe.com;APPLICATION 7. FEBRUARY;FALSE;FALSE;
101 Outdoor Arts Creation Space;Performancezentrum;England;https://101outdoorarts.com/residencies;;;;ONLINE bewerben!;FALSE;FALSE;
Theatre Louis Aragon;Theater;Fance;https://www.theatrelouisaragon.fr/accueil-1524.html;;Clémence Richert;c.richert@tla-tremblay.fr;;TRUE;FALSE;
Kutomo Art Space;Venue;Finnland;https://www.ehka.net/ehka/contact;;;ehkatuotanto@gmail.com;;TRUE;FALSE;
Nous Nous Festival - Cirko Circus Center;Festival;Finnland;https://cirko.fi/en/fourth-edition-of-nounous-festival-at-cirko-in-december/;;;cirko@cirko.fi;;TRUE;FALSE;
Old Mine Residency;Residenzzentrum;Finnland;https://oldmineresidency.fi/en/application/;;;;Alle Informationen hier: https://oldmineresidency.fi/en/application-instructions/;FALSE;FALSE;
X Dance Festival;Festival;Finnland;http://danceabilityfinland.com/kaaos/festivals-2.html;;;;Diversity Inclusion!!;FALSE;FALSE;
 Les Aires Théatre de Die et du Diois;Theater;France;https://theatre-les-aires.com/programme/;;;artistique@theatre-les-aires.com;;FALSE;FALSE;
104 Paris;Venue;France;https://www.104.fr/;;;contact@104.fr;;TRUE;FALSE;
2R2C;Venue;France;https://www.2r2c.coop/;september;M. Rémy BOVIS;remy.bovis@2r2c.coop;;TRUE;FALSE;
Ad Hoc Festival;Festival;France;https://www.levolcan.com/adhoc-festival/edition-2019-2020;Dezember;;t.karaduman@levolcan.com;;TRUE;FALSE;
AGORA PNAC Boulazac Aquitaine;Venue;France;https://www.agora-boulazac.fr/;;M. Frédéric DURNERIN;cc.agora@ville-boulazac.fr;;FALSE;FALSE;
Artcena, Centre national des arts de cirque;Venue;France;https://www.artcena.fr/;;Jessica Bourges;jessica.bourges@artcena.fr;;TRUE;FALSE;
Ay-Roop, scène de territoire;Venue;France;https://www.ay-roop.com/;;;contact@ay-roop.com;;TRUE;FALSE;
Bibasse;Juggling Convention;France;;;;;;TRUE;FALSE;
Biennale Internationale des Arts de la Marionnette;Festival;France;http://lemouffetard.com/content/2021-biennale-internationale-des-arts-de-la-marionnette;;Nilla Salès;n.sales@lemouffetard.com;OBJECT Theater;TRUE;FALSE;
C Koi ce cirque;Juggling Convention;France;https://www.chalondanslarue.com/;;;rdvjongle@gmail.com;;TRUE;FALSE;
Carre Colonnes;Venue;France;https://www.carrecolonnes.fr/index.htm;;Sylvie Violan | Directrice;s.violan@carrecolonnes.fr;;TRUE;FALSE;
Carré Magique, Pôle national cirque en Bretagne;Zirkuszentrum;France;https://www.carre-magique.com/;;Philippe Le Gal;philippelegal@carre-magique.com;;FALSE;FALSE;
CENTRE CULTUREL PABLO PICASSO;Venue;France;;;Mme Fabienne LORONG;fabienne.lorong@wanadoo.fr;;TRUE;FALSE;
Centre des arts du cirque de Basse Normandie;venue;france;;;Mme Yveline RAPEAU;yveline.rapeau@labreche.fr;;TRUE;FALSE;
Centre Léo Lagrange;Venue;France;https://www.leolagrange-villeurbanne.com/;;;;OBJECT Theater;TRUE;FALSE;
CIAM;Zirkuszentrum;France;http://www.artsenmouvement.fr/residences-dartistes/;;;;;FALSE;FALSE;
Cirq'onflex;Venue;France;https://cirqonflex.fr/;;Celine Vandamme;c.vandamme@cirqonflex.fr;;TRUE;FALSE;
Cirque Jules-Verne;Venue;France;https://www.cirquejulesverne.fr/;;Julie Guimas;0033 1 46 22 10 43;;FALSE;FALSE;
Cirque Pardi;Venue;France;;;Alvaro Neira Novoa;alvaroneiranovoa@gmail.com;;FALSE;FALSE;
Cirque-théâtre d'Elbeuf;Venue;France;https://www.cirquetheatre-elbeuf.com/;;"Helene Cadiou
Laurent Brimant";"helene.cadiou@cirquetheatre.com
laurent.brimant@cirquetheatre.com";;FALSE;FALSE;
Cirque-théâtre Elbeuf;Venue;France;https://www.cirquetheatre-elbeuf.com/;;Béatrice Alexandre;beatrice.alexandre@cirquetheatre.com;;TRUE;FALSE;
Clastic Théâtre;Theater;France;http://clastictheatre.com/;;;clastic@clastictheatre.com;OBJECT Theater;TRUE;FALSE;
CNCDC DE CHATEAUVALLON;Venue;France;http://www.chateauvallon.com/;;M. Christian TAMET;tamet.dir@chateauvallon.com;email undelivered;FALSE;FALSE;
Equinox, scène nationale de Chateauroux;Theater;France;http://www.scenenationale-chateauroux.com/;;;0033 2 54 08 35 82;;FALSE;FALSE;
Espace Culturel Lucien Jean;Venue;France;;;Gérard CHAIX;marlyespaceculturel@wanadoo.fr;;TRUE;FALSE;
Espace Germinal OMC;venue;France;https://www.espacegerminal.fr/;;Mme Antonella JACOB;antonella@espacegerminal.fr;;TRUE;FALSE;
ESPACE PERIPHERIQUE;Venue;France;http://www.espaceperipherique.com/;;Mlle Sophie MORIN;s.morin@villette.com;;TRUE;FALSE;
Festival d’Avignon;Festival;France;https://www.festival-avignon.com/en/;Juli;"Agnès Troly, Director of Artistic Programme
Canelle Breymayer, Programming Assistant";festival@festival-avignon.com;;FALSE;FALSE;
Festival d´aurillac;Festival;France;http://www.aurillac.net/index.php/en/;;;ECLAT@AURILLAC.NET;;TRUE;FALSE;
Festival Geoconde;Festival;France;https://www.festivalgeoconde.fr/;;;contact@festivalgeoconde.fr;OBJECT Theater;TRUE;FALSE;
Festival International des Artistes du Cirque;Festival;France;https://www.festivalcirquesaintpaul.com/;;;;sehr trad;FALSE;FALSE;
Festival Itinérant de Marionnettes;Festival;France;http://www.fim-marionnette.com/;Oktober ;;zapoifestival@gmail.com;OBJECT Theater;FALSE;FALSE;
Festival Marto Marionnettes et Objets;Festival;France;http://www.festivalmarto.com/;mars;;01 41 90 17 00;OBJECT Theater;FALSE;FALSE;
Festival Méli Melo;Festival;FRance;https://signoret-canejan.fr/festival-meli-melo/;janvier- fevrier;;billeterie@canejan.fr;OBJECT Theater;FALSE;FALSE;
Mimesis;Festival;France;mimesis.contact@gmail.com;;;mimesis.contact@gmail.com;;FALSE;FALSE;
Les Nuits de Fourvière;Festival;France;www.nuitsdefourviere.com;;;plus 3304 72 57 15 40;;FALSE;FALSE;
;;;;;;;;FALSE;FALSE;
HIPPODROME DE DOUAI;venue;France;http://www.tandem-arrasdouai.eu/fr;;Gilbert LANGLOIS;glanglois@hippodromedouai.com;;TRUE;FALSE;
Houdrement;Venue;France;https://houdremont.lacourneuve.fr/;;;0033 1 49 92 61 61;;FALSE;FALSE;
KLAP House for dance;Venue;France;;;michel kelemenis;compagnie@kelemenis.fr;;FALSE;FALSE;
L'Hectare - Centre National de la Marionette;Venue;France;https://www.lhectare.fr/;;;contact@lhectare.fr;OBJECT Theater;TRUE;FALSE;
L'UsinoTOPIE;Venue;France;http://www.lusinotopie.fr/;;;contact@lusinotopie.fr;OBJECT Theater;TRUE;FALSE;
L’Arsenic, Saison Culturelle Cazals-Salviac ;Theater;France;https://saisonculturellecazalssalviac.wordpress.com/contact/;;;online;;FALSE;FALSE;
La Batysse;Venue;France;http://labatysse.com/;;Virginie SCHELL et Gabriel HERMAND-PRIQUET;lateuchus@yahoo.fr;OBJECT Theater;TRUE;FALSE;
La Brèche;Venue;France;https://www.labreche.fr/;;"Lise HOËZ-GUEZENNEC
Yveline RAPEAU";"developpement@labreche.fr
yveline.rapeau@labreche.fr";;TRUE;FALSE;
La Cascade;Venue;France;https://lacascade.org/bienvenue/;;Pauline Boulai et Emmanuel Cornuel;j.millet@lacascade.org;;TRUE;FALSE;
La Coupe d'Or;Theater;France;http://www.theatre-coupedor.com/spectacle/le-cirque-pietre;;M. Vincent LEANDRI;theatre-coupedor@wanadoo.fr;;TRUE;FALSE;
La Fabrique;Venue;France;https://effigiestheatre.com/la-fabrique/;;;effigiestheatre@orange.fr;OBJECT Theater;FALSE;FALSE;
LA FAIENCERIE;Theater;France;;;M. Gregoire HAREL;greg.harel@gmail.com;;TRUE;FALSE;
La Grainerie;Zirkuszentrum;France;www.la-grainerie.net;;"Broqua Jean-Marc
Serge";"jm-broqua@la-grainerie.net
serge-borras@la-grainerie.net";;FALSE;FALSE;
La Nef;Venue;France;http://www.la-nef.org;;Solene Legendre;relationspubliques@la-nef.org projets@la-nef.org;OBJECT Theater;TRUE;FALSE;
La Verrerie d'Alès;Venue;France;https://www.polecirqueverrerie.com/;;Camille Rebière;production@polecirqueverrerie.com;;TRUE;FALSE;
Le Bâteau feu;Theater;France;https://www.lebateaufeu.com/;;Anne Buffet;0033 3 28 51 40 40;;FALSE;FALSE;
Le Carré Magique;Venue;France;http://www.carre-magique.com/;;Philippe Le Gal;philippelegal@carre-magique.com;;TRUE;FALSE;
Le Champ de Foire;Venue;France;http://www.lechampdefoire.org/;;Guillaume BLAISE;guillaume.blaise@lechampdefoire.org;;TRUE;FALSE;
Le Ciam;Venue;France;http://www.artsenmouvement.fr/;;;contact@ciam-aix.com;;TRUE;FALSE;
Le Cirk'eole;Venue;France;http://www.cirk-eole.fr/;;;contact@cirkeole.fr;;TRUE;FALSE;
Le Crabb;Venue;France;http://www.crabb.fr/;;;crabb@orange.fr;;TRUE;FALSE;
LE CRATERE THEATRE D ALES;Theater;France;;;M. Denis LAFAURIE;denis.lafaurie@lecratere.fr;;TRUE;FALSE;
Le CYAM;Venue;France;http://www.cyam.fr/contacts.html;;Didier Welle;didier@cyam.fr;OBJECT Theater;TRUE;FALSE;
Le Jardin Parallèle;Venue;France;http://www.lejardinparallele.fr/;;;contact@lejardinparallele.fr;OBJECT Theater;FALSE;FALSE;
Le LEM;Venue;France;https://lelem.fr/;;;contact@lelem.fr;OBJECT Theater;TRUE;FALSE;
Le Maillon;Theater;France;https://www.maillon.eu/;;Barbara Engelhardt;info@maillon.eu;;FALSE;FALSE;
Le Mouffetard;Venue;France;http://lemouffetard.com/;;Sarah Najand;Velos@velotheatre.com;OBJECT Theater;FALSE;FALSE;
Le Palc;Venue;France;https://www.furies.fr/;;Audrey Jehanno;audrey.jehanno@lepalc.fr audrey.jehanno@furies.fr  furieusement[@]furies.fr dt@furies.fr;;TRUE;FALSE;
Le pôle;Venue;France;https://www.le-pole.fr/contact;;;info@le-pole.fr;;TRUE;FALSE;
Le pôle de spectacle vivant de la communauté d'agglomération de saint-dié-des-vosges;Venue;France;https://www.ca-saintdie.fr/decouvrir/spectacle-vivant;;;contact@ca-saintdie.fr;;TRUE;FALSE;
Le Prato;Theater;France;https://leprato.fr/;;Gilles Defacque;info@leprato.fr;;FALSE;FALSE;
LE QUAI;Venue;France;https://www.lequai-angers.eu/;;M. Christian MOUSSEAU-FERNANDEZ;artistique@lequai-angers.eu;;TRUE;FALSE;
Le Sablier;Venue;France;https://le-sablier.org/;;;contact@le-sablier.org;OBJECT Theater;TRUE;FALSE;
LE SALMANAZAR;Theater;France;https://theatrelesalmanazar.fr/;;Christian Dufour;billetterie{at}lesalmanazar.fr;;TRUE;FALSE;
Le Sirque;Venue;France;https://lesirque.com/;;;barbara.marchadier@lesirque.com;;TRUE;FALSE;
Le Tas de Sable;Venue;France;https://letasdesable-cpv.org/;;;info@letasdesable-cpv.org;OBJECT Theater;TRUE;FALSE;
Le Vellein;theater;France;https://levellein.capi-agglo.fr/;;;contact.levellein@capi38.fr;;TRUE;FALSE;
Les Narrations du Futur;Theatre;France;https://www.tjp-strasbourg.com/lesnarrationsdufutur;;;communication@tjp-strasbourg.com;OBJECT Theater;FALSE;FALSE;
Les Subsistances;Venue;France;https://www.les-subs.com/;;Mme Cathy BOUVARD;cathy.bouvard@les-subs.com;;TRUE;FALSE;
Ma Scene Nationale;Venue;France;https://mascenenationale.eu/programmation;;Irene Román;programmation@mascene.eu;;FALSE;FALSE;
Malakoff Scène Nationale;Theater;FRance;https://malakoffscenenationale.fr/une-equipe;;;artis;OBJECT Theater;TRUE;FALSE;
Marionnette Actuelle;Venue;FRance;https://www.mima.artsdelamarionnette.com/;;Caroline Galmot;prog.mima@artsdelamarionnette.com;OBJECT Theater;TRUE;FALSE;
Marionnettissimo;Festival;France;https://www.marionnettissimo.com/qui-sommes-nous;;Production - Astrid De Graef;"programmation[a]marionnettissimo.com
production[a]marionnettissimo.com";OBJECT Theater;TRUE;FALSE;
Marsika;Venue;France;https://mariska.fr/;;;mariska.nord@mariskanord.fr;OBJECT Theater;FALSE;FALSE;
NOUVEAU THEATRE MONFORT;Theater;France;;;Mme Laurence DE MAGALHAES;laurence.demagalhaes@lemonfort.fr;;FALSE;FALSE;
Odradek;Venue;France;http://www.pupella-nogues.com/;;Clara Rondet;centre.odradek@orange.fr;OBJECT Theater;TRUE;FALSE;
Scène Nationale Aubusson;Theater;France;https://www.snaubusson.com/;;Marie-Pierre Jean;administration@snaubusson.com;;TRUE;FALSE;
Subs;Venue;France;https://www.les-subs.com/;;Lucie Brosset-Jolinon;lucie.brosset@les-subs.com;;TRUE;FALSE;
Théâtre à la Coque;Theater;France;https://www.theatrealacoque.fr/;;;administration@theatrealacoque.fr;OBJECT Theater;TRUE;FALSE;
Théatre Arles;Theater;France;http://www.theatre-arles.com/;;Alexandra Feuillie;a.feuillie@theatre-arles.com;;TRUE;FALSE;
Théâtre aux mains nues;Venue;France;http://www.theatre-aux-mains-nues.fr;;Emma Schoepfer;contact@theatre-aux-mains-nues.fr;OBJECT Theater;TRUE;FALSE;
Théâtre d'Art Appliqué;Theater;FRance;http://theatresanstoit.fr/theatre-art-applique/les-ateliers-rudimentaires-v-le-sens-du-mouvement/;;;theatresanstoit@gmail.com;OBJECT Theater;FALSE;FALSE;
Théatre de Bourg-en-Bresse;Theater;France;https://www.theatre-bourg.fr/;;;04 74 50 40 00;;TRUE;FALSE;
THEATRE DE CORNOUAILLE;Theater;France;;;M. Franck BECKER;contact@theatre-cornouaille.fr;;TRUE;FALSE;
Theâtre de Grasse;theater;France;https://www.theatredegrasse.com/;;Aoitef Marzouk;secr.dir@theatredegrasse.com;;TRUE;FALSE;
Théâtre de l'Èvre;Venue;France;http://theatredelevre.fr;;;contact@theatredelevre.fr;OBJECT Theater;TRUE;FALSE;
Théâtre de la Cité International;Theatre;France;https://theatre-cite.com/le-cdn/#lequipe-contacts;;"Julia Sterner (production biennale)
Galin Stoev (Directeur délégué)";"j.sterner@theatre-cite.com
mc.remy@theatre-cite.com";;FALSE;FALSE;
Théatre de la coupe d'or;Theater;France;http://www.theatre-coupedor.com/;;Amandine Tenain;amandine.tenain@theatre-coupedor.com;;TRUE;FALSE;
Théâtre de Marionnettes Belfort;Venue;France;https://marionnette-belfort.com/solstice-de-la-marionnette/;;;marionnettebelfort@hotmail.com;OBJECT Theater;TRUE;FALSE;
Théâtre de Mazade;Theater;France;http://www.theatre-de-mazade.com/programmation/programme/;;;theatre.de.mazade@wanadoo.fr;OBJECT Theater;TRUE;FALSE;
Théâtre des Bergeries;Theater;France;http://www.letheatredesbergeries.fr/;;;;;FALSE;FALSE;
Théâtre des Sources;Theater;France;http://www.theatredessources.fr/;;Zoe Braida / Alexandra Bic;zoe.braida@fontenay-aux-roses.fr alexandra.bic@fontenay-aux-roses.fr;OBJECT Theater;TRUE;FALSE;
Théâtre du Mouvement;Theater;France;http://claireheggen.theatredumouvement.fr/pratique/;;;info@claireheggen-tdm.com;OBJECT Theater;TRUE;FALSE;
THEATRE DU ROND POINT;Theater;France;https://www.theatredurondpoint.fr/;;Virginie FERRERE;virginie@theatredurondpoint.fr;;TRUE;FALSE;
THÉÂTRE DURANCE;Theater;France;http://www.theatredurance.fr/;;Élodie Presles;programmation@theatredurance.fr;;TRUE;FALSE;
Théâtre Firmin Gémier La Piscine;Theater;France;https://www.theatrefirmingemier-lapiscine.fr/;;;contact@tfg-lp.com;OBJECT Theater;TRUE;FALSE;
Théâtre Gerard Philipe;Theater;France;https://www.festivalgeoconde.fr/;;;tgp@tgpfrouard.fr;OBJECT Theater;TRUE;FALSE;
Théâtre Jean Arp;Theater;France;https://www.theatrejeanarp.com;;Laurent Flamarion/ Cécile Colle;laurent.flamarion@valleesud.fr cecile.colle@valleesud.fr;OBJECT Theater;TRUE;FALSE;
Théâtre La Licorne;Theater;France;http://www.theatre-lalicorne.fr/;;;contact@theatre-lalicorne.fr;OBJECT Theater;TRUE;FALSE;
Théâtre Le Grand Logis;Theater;France;;;Jean-Louis BEAUVIEUX;direction.grandlogis@ville-bruz.fr;;FALSE;FALSE;
Théâtre le Passage;Theater;France;http://www.theatrelepassage.fr/;;;info@theatrelepassage.fr;OBJECT Theater;TRUE;FALSE;
theatre mansart;Theater;France;;;;culture@crous-bfc.fr theatre-mansart@crous-bfc.fr;;FALSE;FALSE;
Theatre ONYX;Theater;France;https://www.theatreonyx.fr/;;;billetterie.onyx@saint-herblain.fr;;TRUE;FALSE;
Théâtre Victor Hugo;Theater;France;https://www.theatrevictorhugo-bagneux.fr/;;;01 46 63 10 54;OBJECT Theater;FALSE;FALSE;
Théâtres Chatillon;Theater;France;https://www.theatreachatillon.com/;;Coline Sanchez;production@theatreachatillon.com;OBJECT Theater;TRUE;FALSE;
Transversales;Venue;France;https://transversales-verdun.com/transversales/lassociation/;;Didier PATARD;prog.transversales@orange.fr;;TRUE;FALSE;
Vélo Théâtre;Venue;France;https://velotheatre.com/;;;velos@velotheatre.com;OBJECT Theater;TRUE;FALSE;
La Maison du Jonglages;Zirkuszentrum;Frankreich;http://maisondesjonglages.fr/fr/content/les-r%C3%A9sidences ;;Coline Huchet;production.jonglages@gmail.com;Keine finanzielle Unterstützung;TRUE;FALSE;
Le Moulin de Roques;Kulturzentrum;Frankreich;" 
https://www.lemoulin-roques.com/les-residents";;;;;FALSE;FALSE;
Occitanie fait son Cirque;Festival;Frankreich;https://www.culture.gouv.fr/Aides-demarches/Appels-a-projets/Appel-a-candidature-Occitanie-fait-son-cirque-en-Avignon-2022;Vorbei;;online;;FALSE;FALSE;
Garmisch-Partenkirchen;Festival;Garmisch;Zeitwanderer.att;;;Zeitwanderer Application;;TRUE;FALSE;
Tollwood Weihnachstsmarkt;Weihnachten;Gemany;https://www.tollwood.de/;;;joana.hoelcke@tollwood.de;Nur Weihnachten;FALSE;FALSE;
Glastonbury;Festival;Glastonbury;https://www.glastonburyfestivals.co.uk/contact-us/;;;online: https://www.glastonburyfestivals.co.uk/contact-us/;;TRUE;FALSE;
Lesliehof Graz;Open air Bühne;Graz;;;;;;FALSE;FALSE;
Le Sechoir;Venue;Ile de la Réunion;https://www.lesechoir.com/;;Michelle Latchimy;production@lesechoir.com;;FALSE;FALSE;
Leu Tempo Festival;Festival;Ile de la Réunion;http://www.lesechoir.com/leutempo2019/;;;lesechoir@lesechoir.com 0033 2 62 34 80 03;;TRUE;FALSE;
Israel Juggling Convention;Juggling Convention;Israel;;;;israeljugg@gmail.com;NO reply, jetzt vorbei;TRUE;FALSE;
artsisti in piazza;Festival;italien;artistiinpiazza.com;;Online formular, deadline 31 jan;;Online formular, deadline 31 jan;;FALSE;
bascherdeis;Festival;italien;bascherdeis.it;;online formular;https://www.bascherdeis.it/partecipa/;Januar??;;FALSE;
Circum navigando;Festival;Italien;https://www.sarabanda-associazione.it/en/circumnavigando-since-2001-international-festival-of-circus-theatre/;Dezember;;info@sarabanda-associazione.it;;TRUE;FALSE;
cucu festival;Festival;italien;https://www.facebook.com/cucufestival/;Oktober;;info@lecurandaie.it;;;FALSE;
ferrara buskers festival;Festival;italien;ferrarabuskers.com;;online form to complete before 30th april;bottoni@ferrarabuskers.com;APPLICATION DEADLINE: April 30, 2023.;;FALSE;
International Circus Festival Italy;Festival;Italien;https://www.festivalcircolatina.com/2015/history/?lang=en;oktober;; info@festivalcircolatina.com;;TRUE;FALSE;
SPAM!;Performancezentrum;Italien;http://www.spamweb.it;;;;;FALSE;FALSE;
Circorama;Zirkuszentrum;Kroatien;"https://cirkorama.org/en/contemporary-circus-artists-at-the-residencies/
";;;;Darragh und Sophia fragen;FALSE;FALSE;
Hala 100;Venue;Kroatien;https://room100.org/;;Antonia Kuzmanić;positivef@gmail.com;;FALSE;FALSE;
Circustage Kufstein;Festival;Kufstein;https://www.circustage.at/;Januar;;schobesberger@circustage.at;;TRUE;FALSE;
At.Tension;Festival;Lärz;http://www.attension-festival.de/2019/de/kontakt.php;;;theater@ kulturkosmos.de;;TRUE;FALSE;
Arts Printing House;Performancezentrum;Litauen;"
http://www.menuspaustuve.lt";;;;Super interessant!!;FALSE;FALSE;
Flying Carpet Festival;Festival;Mardin;https://www.flyingcarpetfestival.org/;;;sahbakia@sirkhane.org;;TRUE;FALSE;
Freeman Festival;Festival;Deutschland;https://wannda.de/kontakt/;;;info@wannda.de;;TRUE;FALSE;
de kleine willem;Theater;Niederlande;https://www.wilminktheater.nl/nl/pQNNPHd/de-kleine-willem;;;evenementen@wilminktheater.nl;;TRUE;FALSE;
musis & stadstheater arnhem;Theater;Niederlande;https://www.musisenstadstheater.nl;;;programma@musisenstadstheater.nl;;TRUE;FALSE;
Odeon / Zwolse Theaters;Theater;Niederlande;https://zwolsetheaters.nl/;;;info@zwolsetheaters.nl;;TRUE;FALSE;
theate de blauwe kai;Theater;Niederlande;https://www.blauwekei.nl/;;;info@blauwekei.nl;;TRUE;FALSE;
Theaterfest Nitra;Festival;Nitra;https://nitrafest.sk/;;;nitrafest@nitrafest.sk;;TRUE;FALSE;
Festspillene i Nord-Norge (Arctic Arts Festival);Festival;Norwegen;https://festspillnn.no/;;;post@festspillnn.no;;TRUE;FALSE;
Glasslaven Arts Center;Kunstzentrum;Norwegen;https://glasslaven.no/?fbclid=IwAR1fwDhYkorZ7VP5jyulbksbnNqzDsqx2fIn2O0Dt3WwlLzKteNoYp218bww;;;;;FALSE;FALSE;
“ARé ” performing arts festival;Festival;Armenien;http://www.arepaf.am/;;;arecultural@gmail.com  ;;TRUE;TRUE;
Athens Epidaurus Festival ;Festival;Athen;http://aefestival.gr/?lang=en;;;artisticdirector@aefestival.gr;;FALSE;TRUE;
