NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;COMMENT;EMAIL;;APPLIED 2023;APPLIED 2025;;;;;;;;;;;;;;;;
La Strada;Festival;Germany;https://lastrada-bremen.de/bewerbung;;;application@lastrada-bremen.de;UNBEDEINGT Bewerben;TRUE;TRUE;;;;;;;;;;;;;;;;
Tête à Tête;Festival;Germany;https://www.tete-a-tete.de/de/festival/info/;Juni;;info@tete-a-tete.de;UNBEDEINGT Bewerben;TRUE;FALSE;;;;;;;;;;;;;;;;
Zirkart Festival;Festival;Germany;http://zirkart.de/;september;;info@zirkart.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
Larupina;Festival;Hamburg;https://lurupina.de;;;info@lurupina.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
Composé festival;Festival;Jena;https://www.compose-festival.de/;September;;mail@compose-festival.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Villach Festival;Festival;Austria;https://villach.at/stadt-erleben/kultur/strassenkunstfestival;;;stadtmarketing@villach.at;;;TRUE;;;;;;;;;;;;;;;;
Circus Dance Festival;Festival;Köln;https://www.circus-dance-festival.de/;;Malte Garrecht;malte@overhead-project.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
Circustage Kufstein;Festival;Kufstein;https://www.circustage.at/;Januar;;schobesberger@circustage.at;;FALSE;FALSE;;;;;;;;;;;;;;;;
At.Tension;Festival;Lärz;http://www.attension-festival.de/2019/de/kontakt.php;;;theater@ kulturkosmos.de;;FALSE;TRUE;;;;;;;;;;;;;;;;
Cirkl;Fetival;Leuwen;https://www.cirklcircus.be/en/home;Mai;;info@cirklabo.be;;FALSE;FALSE;;;;;;;;;;;;;;;;
Olala Lienz;Festival;Lienz;http://www.olala.at/ueber-olala/;;Hans Mutschlechner;info@ummigummi.at;;FALSE;TRUE;;;;;;;;;;;;;;;;
Linzer Pflasterspektakel;Festival;Linz;https://pflasterspektakel.at/de/;;;pflasterspektakel@linz.at;;TRUE;TRUE;;;;;;;;;;;;;;;;
Ana Desetnica - International Street Art Festival;Festival;Ljubljana;https://www.anamonro.si/en/pillar/ana-desetnica/;;;goro.anamonro@gmail.com;;FALSE;FALSE;;;;;;;;;;;;;;;;
Floating Castle Festival;Festival;Ljubljana;https://www.floatingcastle.si/sl/floating/2021/home;;;kuralt.vesna@gmail.com floatingcastle.programme@gmail.com;;FALSE;TRUE;;;;;;;;;;;;;;;;
Flying Carpet Festival;Festival;Mardin;https://www.flyingcarpetfestival.org/;;;sahbakia@sirkhane.org;;FALSE;TRUE;;;;;;;;;;;;;;;;
Maribor Theater Festival;Festival;Maribor;https://www.borstnikovo.si/en/;;;dasa.sprincnik@borstnikovo.si;;TRUE;TRUE;;;;;;;;;;;;;;;;
Circo Circolo;Festival;Nederlande;https://www.festivalcircolo.nl/;;;Stephan@festivalcircolo.nl;;FALSE;TRUE;;;;;;;;;;;;;;;;
Boulevard Theaterfestival;Festival;Niederlande;https://www.festivalboulevard.nl/;;;tessa@festivalboulevard.nl;;TRUE;TRUE;;;;;;;;;;;;;;;;
Circus Festival Breda;Festival;Niederlande;https://circusfestivalbreda.nl/;;Maryon Keldermans;info@circusfestivalbreda.nl;;TRUE;FALSE;;;;;;;;;;;;;;;;
Cirque Mania Festival;Festival;Niederlande;https://korzo.nl/en/themes/cirque-mania/;;;info@korzo.nl;;TRUE;FALSE;;;;;;;;;;;;;;;;
Deventer Op Stelten;;Niederlande;https://www.deventeropstelten.nl/;;;pers@eventsdeventer.nl;;TRUE;FALSE;;;;;;;;;;;;;;;;
Oerol;Festival;Niederlande;https://www.holland.com/de/tourist/aktivitaten/veranstaltungen/oerolfestival-8.htm;;;programma@oerol.nl, Wendy Moonen;;TRUE;FALSE;;;;;;;;;;;;;;;;
Reuring;Festival;Niederlande;https://www.reuring.com/;Juli;Adriaan Bruin ;programmering@reuring.com;;TRUE;FALSE;;;;;;;;;;;;;;;;
Spoffin;Festival ;Niederlande;https://spoffin.eu/;August;January until 28 February 2024;festival@spoffin.nl;Does not accept proposals;TRUE;TRUE;;;;;;;;;;;;;;;;
Paderborn Festival;;;;;;;;FALSE;TRUE;;;;;;;;;;;;;;;;
Paderborn Messe;Festival;Paderborn;https://www.paderborn.de/microsite/performance/;Kein Festival sondern Messe;;info@performance-paderborn.de;online;FALSE;FALSE;;;;;;;;;;;;;;;;
Podersdorf;Festival;Podersdorf;Zeitwanderer.at;;;Zeitwanderer Application;;FALSE;FALSE;;;;;;;;;;;;;;;;
International Mime Art Festival;Festival;Poland;mimefestival.pl;October;mime;mimefestival@mimowie.pl;;TRUE;TRUE;;;;;;;;;;;;;;;;
Carnaval Sztuk-Mistrzów ;Festival;Polen;https://sztukmistrze.eu/;;"Rafał Sadownik
Iwona Kornet Marta Kuczyńska ";info@sztukmistrze.eu / marta.kuczynska@sztukmistrze.eu ;;TRUE;TRUE;;;;;;;;;;;;;;;;
Cirkulaje ;Festival;Polen;www.sztukmistrze.pl/cyrkulacje?fbclid=IwAR2Zme4eYPTN4B6gNZ_GXA5NUtScw0l7s1V270BQbIgKrS1q68IM21psK2E;Newyear;;kontakt@sztukmistrze.pl;noch nicht offen ;FALSE;FALSE;;;;;;;;;;;;;;;;
Malta Festival Poznań;Festival;Polen;https://malta-festival.pl/en;;;office@malta-festival.pl;;TRUE;FALSE;;;;;;;;;;;;;;;;
OFCA Festival;Festival;Polen;https://festiwalofca.pl/en/;;;biuro@festiwalofca.pl;;TRUE;TRUE;;;;;;;;;;;;;;;;
Cirkopolis;Festival;Prag;https://www.cirkopolis.cz/;February;Adéla Brabcová;adela@cirqueon.cz;;FALSE;FALSE;;;;;;;;;;;;;;;;
Ruhrfestspiele;Festival;Recklinghausen;https://www.ruhrfestspiele.de/;;;info@ruhrfestspiele.de;;TRUE;FALSE;;;;;;;;;;;;;;;;
Kulturpflaster;Festival;Regensburg;https://www.mischkultur.org/;;;kontakt@mischkultur.org;;TRUE;TRUE;;;;;;;;;;;;;;;;
"
Circusstad";Festival;Rotterdam;https://circusstad.nl/;;;menno@circusstad.nl;;FALSE;FALSE;;;;;;;;;;;;;;;;
Sibiu International Theater Festival;Festival;Roumänien;https://www.sibfest.ro;;;Vicențiu Rahău vicentiu.rahau@sibfest.ro;;TRUE;FALSE;;;;;;;;;;;;;;;;
behind the door;Festival ;Czech;https://zadvermi.cz/en/kontakt/;;;;;;TRUE;;;;;;;;;;;;;;;;
Divadlo Festival;Festival;Czech;https://festivaldivadlo.cz/en;;;;;;TRUE;;;;;;;;;;;;;;;;
Cirqu'Arau;Festival;Schweiz;https://www.cirquaarau.ch/?fbclid=IwAR0vIVfDNnWd0Rq2Dw5737thCy5cPuRAqvGt94lgmt75_1i5WSK20_8DdDs;NEXT 2025;Laura Olgiati;olgiati@cirquaarau.ch;;TRUE;FALSE;;;;;;;;;;;;;;;;
MimeFest;Festival;Czech;https://mimefest.cz/en/contacts/;;;;;;TRUE;;;;;;;;;;;;;;;;
Komediani Vulicic;Festival;Czech;http://komediantivulicich.cz/;;;komediantivulicich@gmail.com;;;TRUE;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Theater Spektakel Zürich;Festival;Schweiz;https://www.theaterspektakel.ch/programmarchiv;;;contact@theaterspektakel.ch;Online Bewerbung (mitte januar);TRUE;FALSE;;;;;;;;;;;;;;;;
Storytelling Festival;Festival;Steiermark;www.storytellingfestival.at/festivalkontakt/team/;;;office@storytellingfestival.at;;TRUE;TRUE;;;;;;;;;;;;;;;;
La Bâtie-Festival;Festival;Swiss;https://www.batie.ch/;;Claude Ratzé;contact@batie.ch;;TRUE;FALSE;;;;;;;;;;;;;;;;
KoressponDance;Festival;tschechen;https://www.korespondance.cz/en/;;Eva Dryjová;eva.dryjova@se-s-ta.cz;;FALSE;FALSE;;;;;;;;;;;;;;;;
Letni Letna;Festival;Tschechen;https://en.letniletna.cz/en/international-festival-of-contemporary-circus-and-theater-letni-letna/;;Anna Vondráčková ;anna.vondrackova@letniletna.cz;;FALSE;TRUE;;;;;;;;;;;;;;;;
Roztocfest;Festival;Tscheichen;https://roztocfest.com/;;;info@roztocfest.com;;TRUE;FALSE;;;;;;;;;;;;;;;;
Internationales Kleinkunstfestival ;Festival;Usedom ;https://www.kleinkunst-festival.com/infos/;;;info@kleinkunst-festival.com;;FALSE;TRUE;;;;;;;;;;;;;;;;
Artists de Rue;Festival;Vevey;artistesderue.ch/;;;contact@artistesderue.ch;;TRUE;TRUE;;;;;;;;;;;;;;;;
On the Edge;Festival;Wien;https://www.ontheedge.at/festivalprogramm;November;;info@ontheedge.at;;FALSE;FALSE;;;;;;;;;;;;;;;;
Wiener Neustadt Straßenfestival;Festival;Wien;https://www.strassenkunstfestival.at/;;;backstage@zeitenwanderer.at;Ab 3.Dezember über Zeitwanderer!!;FALSE;TRUE;wrote email;;;;;;;;;;;;;;;
Theaterspektakel Zürich;Festival;Zürich;https://www.theaterspektakel.ch/service/kontakt;;;contact@theaterspektakel.ch;;FALSE;TRUE;;;;;;;;;;;;;;;;
Straatkunstenfestival Del Mundo;Festival;Belgium;https://www.facebook.com/StraatkunstenfestivalDelMundo?fref=ts;;;evenementen@maasmechelen.be;;FALSE;TRUE;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Straßenkünstlerfestival in Scharbeutz;Festival;Deutschaland;https://www.luebecker-bucht-ostsee.de/jahreshighlights;03-08.08;;info@luebecker-bucht-ostsee.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Pinneberger Kleinkunstfestival;Festival;online;https://www.stadtmarketing-pinneberg.info/;;CHRISTMAS;info@stadtmarketing-pinneberg.info;;FALSE;FALSE;;;;;;;;;;;;;;;;
Gauklerfestung Koblenz;Festival;Deutschland;https://gauklerfestung.de/programm-samstag/;;;gaukler@cafehahn.de ;;TRUE;FALSE;;;;;;;;;;;;;;;;
Kulturufer Friedrichshafen;Festival;Deutschland;https://kulturufer.de/;;online application;kulturbuero@friedrichshafen.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
Kultur auf der Straße Ulm;Festival;Deutschland;https://www.neu-ulm-strassenkultur.de/;;;Onlineformular;;TRUE;TRUE;;;;;;;;;;;;;;;;
Buskers Bus;Festival;Polen;https://www.buskerbus.com/;;;Ab Januar hier: https://www.buskerbus.com/apply/;Apply beginning of january closes very quickly!!;FALSE;FALSE;apply mid feb;;;;;;;;;;;;;;;
Kavc;Festival;Slovenia;;;;;;TRUE;TRUE;;;;;;;;;;;;;;;;
Floating Castle Festival;Festival;Slovenia;;;;;;FALSE;FALSE;;;;;;;;;;;;;;;;
Cirkul'Art Festival;Festival;Slovakei;https://cirkulart.sk/de/;;Katarína Pokorná;katarina.pokorna@cirkulart.sk;;FALSE;FALSE;;;;;;;;;;;;;;;;
Cirkulum Festival;Festival;Tschechien;https://www.cirkulum.cz/en/;;;produkce@cirkulum.cz  cirkulum@cirkulum.cz;;FALSE;FALSE;;;;;;;;;;;;;;;;
ULICA FESTIVAL KRAKOW;Festival;Polen;https://teatrkto.pl/35-street-theatre-festival-2022/;;;sekretariat@teatrkto.pl;;TRUE;TRUE;;;;;;;;;;;;;;;;
FESTIWAL DWOCH JEZEIOR;Festival;Polen;https://www.festiwaldwochjezior.pl/index.php;;;info@wckwalcz.pl;;FALSE;FALSE;;;;;;;;;;;;;;;;
OFCA Festival;Festival;Polen;https://festiwalofca.pl/en/strona-glowna/;;;;;FALSE;TRUE;;;;;;;;;;;;;;;;
 sztukauliczna;Festival;Polen;https://sztukaulicy.pl/;;;sztukauliczna.festiwale@gmail.com;;FALSE;TRUE;;;;;;;;;;;;;;;;
Aichtal Juggling con;Juggling convention;Deutchland;www.jonglieren-in-aichtal.de;;;orga-team@jonglieren-in-aichtal.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Berlin juggling Conv;;;https://circulum.de/convention/23/en/english/;;;gala@circulum.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Bremen juggling con;;;https://bremen-jongliert.de/;;;bremenjonglagecon@yahoo.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Freiburg juggling con;;;jonglieren-in-freiburg.de;;;info[ät]jonglieren-in-freiburg.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Drop am See;;;drop-am-see.de;;;orga@drop-am-see.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Fuori asse;Festival;Italien;https://www.quattrox4.com/en/fuori-asse-festival-2023/;;;segreteria@quattrox4.com;;TRUE;TRUE;;;;;;;;;;;;;;;;
https://festiwalofca.pl/en/strona-glowna/;;Polen;;;;;total;;TRUE;;;;;;;;;;;;;;;;
https://feta.pl/;;Polen;;;;;;;TRUE;;;;;;;;;;;;;;;;
https://migok.pl/dionizje-2023/;;Polen;;;;;;;TRUE;;;;;;;;;;;;;;;;
https://teatrnorwida.pl/kontakt/;;Polen;MFTU;;;;;;TRUE;;;;;;;;;;;;;;;;
https://fama.wroc.pl/kalendarz/cyrkopole/;;Polen;Cyrkopole;;;;;;TRUE;;;;;;;;;;;;;;;;
https://ulicznicy.pl/o-festiwalu-2018/;;Polen;Ulicznicy;;;;;;TRUE;;;;;;;;;;;;;;;;
Pilsen Buskers;;Czech;busking.plzen@gmail.com;;;;;;TRUE;;;;;;;;;;;;;;;;
https://busker.pl/en/open-call-buskers/;;Polen;;;;;beginning 2025!;;FALSE;;;;;;;;;;;;;;;;
;;;;;;;TOTAL;64;67;;;;;;;;;;;;;;;;
